    50.000	  	5.9541714913e+00	4.7573934514e-03
    51.000	  	6.3199716506e+00	4.9478541535e-03
    52.000	  	6.7150294556e+00	5.0613001187e-03
    53.000	  	7.1386604950e+00	4.9895409951e-03
    54.000	  	7.6084961046e+00	5.1388668946e-03
    55.000	  	8.1598814293e+00	5.5730132434e-03
    56.000	  	8.7644259931e+00	5.7459864538e-03
    57.000	  	9.4452879318e+00	6.1608949089e-03
    58.000	  	1.0224759061e+01	6.3838631155e-03
    59.000	  	1.1116422835e+01	5.8838662284e-03
    60.000	  	1.2112740085e+01	5.6840775618e-03
    61.000	  	1.3290696804e+01	6.2379418111e-03
    62.000	  	1.4659950682e+01	6.8204021546e-03
    63.000	  	1.6267763664e+01	7.4883893434e-03
    64.000	  	1.8181496325e+01	8.0171248696e-03
    65.000	  	2.0485110147e+01	7.5390198940e-03
    66.000	  	2.3291826025e+01	8.1973668252e-03
    67.000	  	2.6762076099e+01	9.2882386713e-03
    68.000	  	3.1081129402e+01	9.7553142771e-03
    69.000	  	3.6609189573e+01	9.9117064232e-03
    70.000	  	4.3928901667e+01	1.1509685440e-02
    71.000	  	5.3687940619e+01	1.2115212965e-02
    72.000	  	6.7284953307e+01	1.3736057615e-02
    73.000	  	8.7083313380e+01	1.5595535317e-02
    74.000	  	1.1737363028e+02	1.8053737661e-02
    75.000	  	1.6720210204e+02	2.1413343560e-02
    76.000	  	2.5731608491e+02	2.6491263411e-02
    77.000	  	4.4415372568e+02	3.4669128289e-02
    78.000	  	9.1276515128e+02	4.9624315416e-02
    79.000	  	2.2179415444e+03	7.7261145645e-02
    80.000	  	3.2441709858e+03	9.3394140857e-02
    81.000	  	1.6226247611e+03	6.6012866554e-02
    82.000	  	6.7409568880e+02	4.2521426209e-02
    83.000	  	3.4206872176e+02	3.0324427483e-02
    84.000	  	2.0220919048e+02	2.3464937870e-02
    85.000	  	1.3219473727e+02	1.8972431104e-02
    86.000	  	9.2637668234e+01	1.6004758423e-02
    87.000	  	6.8235840201e+01	1.3702767832e-02
    88.000	  	5.2134200417e+01	1.1696780041e-02
    89.000	  	4.1030552724e+01	1.1770019606e-02
    90.000	  	3.3057105517e+01	9.5133857071e-03
    91.000	  	2.7150206328e+01	8.8006253992e-03
    92.000	  	2.2637044829e+01	7.8705942221e-03
    93.000	  	1.9146256515e+01	6.6726966043e-03
    94.000	  	1.6357681524e+01	5.7107800741e-03
    95.000	  	1.4141067088e+01	7.7935443818e-03
    96.000	  	1.2316312506e+01	9.0940047419e-03
    97.000	  	1.0803679058e+01	8.4502031307e-03
    98.000	  	9.5489926323e+00	7.9393889114e-03
    99.000	  	8.4836576471e+00	7.1819022175e-03
