    50.000	  	5.9431291940e+00	4.7514531135e-03
    51.000	  	6.3086224058e+00	4.9410215647e-03
    52.000	  	6.7040062036e+00	5.0561640620e-03
    53.000	  	7.1266036436e+00	4.9855819286e-03
    54.000	  	7.5962853393e+00	5.1328881940e-03
    55.000	  	8.1480992250e+00	5.5668886978e-03
    56.000	  	8.7505771990e+00	5.7409063947e-03
    57.000	  	9.4313471837e+00	6.1532572067e-03
    58.000	  	1.0211393076e+01	6.3845061229e-03
    59.000	  	1.1101347739e+01	5.8859850554e-03
    60.000	  	1.2097245288e+01	5.6643545629e-03
    61.000	  	1.3272789749e+01	6.2395535754e-03
    62.000	  	1.4642000285e+01	6.8045119499e-03
    63.000	  	1.6250619011e+01	7.4882671887e-03
    64.000	  	1.8158406288e+01	8.0080708248e-03
    65.000	  	2.0462832031e+01	7.5409416708e-03
    66.000	  	2.3267068564e+01	8.1924925769e-03
    67.000	  	2.6733960795e+01	9.2781490317e-03
    68.000	  	3.1051537428e+01	9.7568952748e-03
    69.000	  	3.6572600682e+01	9.8928049794e-03
    70.000	  	4.3886226066e+01	1.1521078927e-02
    71.000	  	5.3637739932e+01	1.2099665281e-02
    72.000	  	6.7224922399e+01	1.3730365761e-02
    73.000	  	8.7006897523e+01	1.5587232907e-02
    74.000	  	1.1727622742e+02	1.8038711871e-02
    75.000	  	1.6706031272e+02	2.1401976154e-02
    76.000	  	2.5711176001e+02	2.6480855472e-02
    77.000	  	4.4380312522e+02	3.4653195137e-02
    78.000	  	9.1206013069e+02	4.9595941131e-02
    79.000	  	2.2162775683e+03	7.7222951541e-02
    80.000	  	3.2418032698e+03	9.3349910058e-02
    81.000	  	1.6214657735e+03	6.5979743769e-02
    82.000	  	6.7363009568e+02	4.2508623611e-02
    83.000	  	3.4182712533e+02	3.0294941188e-02
    84.000	  	2.0207854736e+02	2.3469771333e-02
    85.000	  	1.3210617028e+02	1.8969166881e-02
    86.000	  	9.2585255231e+01	1.5951223112e-02
    87.000	  	6.8189634541e+01	1.3772048970e-02
    88.000	  	5.2109879309e+01	1.1726621082e-02
    89.000	  	4.1001997991e+01	1.1763860217e-02
    90.000	  	3.3038276982e+01	8.7494759913e-03
    91.000	  	2.7133746308e+01	8.9729960577e-03
    92.000	  	2.2623550905e+01	8.0429029766e-03
    93.000	  	1.9139514654e+01	6.8261206551e-03
    94.000	  	1.6349059121e+01	5.8685380624e-03
    95.000	  	1.4131839738e+01	7.8530621423e-03
    96.000	  	1.2306934655e+01	9.0860200247e-03
    97.000	  	1.0798850532e+01	8.5897441400e-03
    98.000	  	9.5434666565e+00	7.3154646282e-03
    99.000	  	8.4905132021e+00	5.8344534015e-03
   100.000	  	7.5811334997e+00	4.5935991580e-03
   101.000	  	6.8147547319e+00	4.1578575996e-03
   102.000	  	6.1522276024e+00	3.7553429804e-03
   103.000	  	5.5687935006e+00	3.4101462531e-03
   104.000	  	5.0660935413e+00	3.1167398828e-03
   105.000	  	4.6159587244e+00	2.8467382086e-03
   106.000	  	4.2282477417e+00	2.6110203644e-03
   107.000	  	3.8830046604e+00	2.4559477851e-03
   108.000	  	3.5817678925e+00	3.8892589438e-03
   109.000	  	3.2990453563e+00	4.3642624716e-03
   110.000	  	3.0630379138e+00	4.1660510736e-03
   111.000	  	2.8318315421e+00	3.9095755125e-03
   112.000	  	2.6357160887e+00	3.6757776287e-03
   113.000	  	2.4560401487e+00	3.4475640623e-03
   114.000	  	2.2913642873e+00	3.2419521876e-03
   115.000	  	2.1402196730e+00	3.0513751540e-03
   116.000	  	2.0034661570e+00	2.8679443497e-03
   117.000	  	1.8733101319e+00	2.6860976888e-03
   118.000	  	1.7626342417e+00	2.5340674994e-03
   119.000	  	1.6584253224e+00	2.3916798634e-03
   120.000	  	1.5583059286e+00	2.2396975381e-03
   121.000	  	1.4680922119e+00	2.1336836703e-03
   122.000	  	1.3858783520e+00	2.0075844294e-03
   123.000	  	1.3066480499e+00	1.8814764071e-03
   124.000	  	1.2386847907e+00	1.7942417766e-03
   125.000	  	1.1706800746e+00	1.6953471013e-03
   126.000	  	1.1105552458e+00	1.6147257647e-03
   127.000	  	1.0564082834e+00	1.5461302545e-03
   128.000	  	9.9968002076e-01	1.4518931947e-03
   129.000	  	9.5384668424e-01	1.4008773543e-03
   130.000	  	9.0497568797e-01	1.3311660560e-03
   131.000	  	8.6279404119e-01	1.2782295297e-03
   132.000	  	8.1834652909e-01	1.2091966307e-03
   133.000	  	7.8186893771e-01	1.1587129334e-03
   134.000	  	7.4283850234e-01	1.0999943496e-03
   135.000	  	7.1104818731e-01	1.0517691450e-03
   136.000	  	6.8182365043e-01	1.0126160315e-03
   137.000	  	6.5119548617e-01	9.7293313726e-04
   138.000	  	6.2301389810e-01	9.2968003514e-04
   139.000	  	5.9556523338e-01	8.9508065672e-04
   140.000	  	5.7217176237e-01	8.6262717303e-04
   141.000	  	5.4668420800e-01	8.1726133571e-04
   142.000	  	5.2507562818e-01	7.9264769860e-04
   143.000	  	5.0345705636e-01	7.5504397377e-04
   144.000	  	4.8326846194e-01	7.2764414188e-04
   145.000	  	4.6365338918e-01	7.0278199221e-04
   146.000	  	4.4762684987e-01	6.7538061841e-04
   147.000	  	4.2845824569e-01	6.4764056864e-04
   148.000	  	4.1234180045e-01	6.2262596987e-04
   149.000	  	3.9722251478e-01	6.0582278743e-04
   150.000	  	3.8116258148e-01	5.7599417862e-04
   151.000	  	3.6830988782e-01	5.6200260062e-04
   152.000	  	3.5511307593e-01	5.3963689638e-04
